14.09.23 / 08:09:44;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
14.09.23 / 08:09:57;#2;PLC_CMD;11;Command from PLC;EOS In Signal OK;
14.09.23 / 08:09:57;#2;STEP;180;EOS IN activated, Time out 10 s, EOS IN Signal;DONE;
14.09.23 / 08:09:57;#2;STEP;190;Timeout ?! EOS IN Signal PLC failure.;;
14.09.23 / 08:09:57;#2;STEP;200;Run servo to reference position and start stroke measurement.;;
14.09.23 / 08:09:57;#2;STEP;210;Show: 'Initialization EOS IN OK'.;;
14.09.23 / 08:09:58;#2;STEP;220;Show: 'Initialization EOS OUT'.;;
14.09.23 / 08:10:04;#2;STEP;230;Run to EOS OUT.;;
14.09.23 / 08:10:04;#2;STEP;240;Read EOS OUT Status. if not 1 'EOS OUT is not active'.;;
14.09.23 / 08:10:04;#2;STEP;240;EOS OUT;Is activated;
14.09.23 / 08:10:04;#2;STEP;240;Max Servo Position;351.85  mm;
14.09.23 / 08:10:04;#2;STEP;240;Min Servo Position;252.78  mm;
14.09.23 / 08:10:04;#2;STEP;240;Servo Stroke;99.07  mm;
14.09.23 / 08:10:04;#2;STEP;240;Min. BusLink Position;-29.40  mm;
14.09.23 / 08:10:04;#2;STEP;240;Max. BusLink Position;99.00  mm;
14.09.23 / 08:10:04;#2;STEP;250;Not In Use.;;
14.09.23 / 08:10:04;#2;STEP;260;Not In Use.;;
14.09.23 / 08:10:05;#2;STEP;270;Not In Use.;;
14.09.23 / 08:10:05;#2;PLC_CMD;12;Command from PLC;EOS Out Signal OK;
14.09.23 / 08:10:05;#2;STEP;280;Read Buslink-position og verify(Excel sheet). Wait for PLC-command 'EOS OUT Signal and Voltage OK'. 12..;;
14.09.23 / 08:10:05;#2;STEP;290;Show: 'Initialization EOS OUT OK';;
14.09.23 / 08:10:07;#2;STEP;300;Select feedback type;;
14.09.23 / 08:10:08;#2;STEP;310;Run to SetPoint/TargetPosition.;;
14.09.23 / 08:10:08;#2;INFO;320;Actuator Type is -> None, XOR, OneHallOut;;
14.09.23 / 08:10:08;#2;INFO;320;Stay at full stroke, start measurements;;
14.09.23 / 08:10:08;#2;INFO;320;Servo Stroke = Max Servo Pos - Min Servo Pos: ;99.07  mm;
14.09.23 / 08:10:08;#2;INFO;320;##;;
14.09.23 / 08:10:08;#2;INFO;320;Min. BusLink Position;-29.40  mm;
14.09.23 / 08:10:08;#2;INFO;320;Max. BusLink Position;99.00  mm;
14.09.23 / 08:10:08;#2;INFO;320;BusLink Stroke = Max. - Min.;128.40  mm;
14.09.23 / 08:10:08;#2;INFO;320;##;;
14.09.23 / 08:10:08;#2;INFO;320;Stroke Tol. = IFlexTol.;2.00  mm;
14.09.23 / 08:10:08;#2;INFO;320;Stroke Servo Max.;101.07 mm  mm;
14.09.23 / 08:10:08;#2;INFO;320;Current BusLink Position;99.00  mm;
14.09.23 / 08:10:08;#2;INFO;320;Stroke Servo Min.;97.07 mm  mm;
14.09.23 / 08:10:08;#2;INFO;320;Comparison Servo/Buslink Position;PASSED;
14.09.23 / 08:10:09;#2;STEP;340;Test Passed. ;;
14.09.23 / 08:10:16;#2;INFO;999;SetCustomerCurrentCutOffs();DONE;
14.09.23 / 08:10:16;#2;STEP;360;LINTest has finished. EndOfTest;;
