13.09.23 / 20:14:04;;;;********** New Test Started **********;Version of LINTest: 11.1.4.0
13.09.23 / 20:14:10;#1;INFO;110;From AxArtName;36120300001328-611G30500ACS000;
13.09.23 / 20:14:10;#1;INFO;110;From AxConf;10SW36CFG002057;
13.09.23 / 20:14:10;#1;INFO;110;From AxPCBA;10CS36000001-H-0;
13.09.23 / 20:14:10;#1;INFO;110;PDHS set to Parallel Actuator;0;
13.09.23 / 20:14:11;#1;INFO;40;SetForcePositionLost();DONE;
13.09.23 / 20:14:11;#1;STEP;120;Run out of EOS IN. if EOS OUT ignore it.;;
13.09.23 / 20:14:12;#1;STEP;130;Read EOS IN. if not 0 'EOS In Error'.;;
13.09.23 / 20:14:12;#1;STEP;130;EOS IN;Is deactivated;
13.09.23 / 20:14:13;#1;STEP;140;Stop 200ms/Run In.;;
13.09.23 / 20:14:16;#1;STEP;150;Run to EOS IN.;;
13.09.23 / 20:14:16;#1;STEP;160;Read EOS IN Status. if not 1 'EOS IN Not active'.;;
13.09.23 / 20:14:18;#1;STEP;160;EOS IN;is activated;
13.09.23 / 20:14:18;#1;PLC_CMD;11;Command from PLC;EOS In Signal OK;
13.09.23 / 20:14:18;#1;STEP;180;Wait for PLC command EOS Signal is OK.;;
13.09.23 / 20:14:18;#1;STEP;180;EOS IN activated, Time out 10 s, EOS IN Signal;DONE;
13.09.23 / 20:14:18;#1;STEP;190;Timeout ?! EOS IN Signal PLC failure.;;
13.09.23 / 20:14:19;#1;STEP;200;Run servo to reference position and start stroke measurement.;;
13.09.23 / 20:14:19;#1;STEP;210;Show: 'Initialization EOS IN OK'.;;
13.09.23 / 20:14:20;#1;STEP;220;Show: 'Initialization EOS OUT'.;;
13.09.23 / 20:14:35;#1;STEP;230;Run to EOS OUT.;;
13.09.23 / 20:14:35;#1;STEP;240;Read EOS OUT Status. if not 1 'EOS OUT is not active'.;;
13.09.23 / 20:14:35;#1;STEP;240;EOS OUT;Is activated;
13.09.23 / 20:14:35;#1;STEP;240;Max Servo Position;848.66  mm;
13.09.23 / 20:14:35;#1;STEP;240;Min Servo Position;551.28  mm;
13.09.23 / 20:14:35;#1;STEP;240;Servo Stroke;297.39  mm;
13.09.23 / 20:14:35;#1;STEP;240;Min. BusLink Position;0.25  mm;
13.09.23 / 20:14:35;#1;STEP;240;Max. BusLink Position;296.58  mm;
13.09.23 / 20:14:35;#1;STEP;250;Not In Use.;;
13.09.23 / 20:14:35;#1;STEP;260;Not In Use.;;
13.09.23 / 20:14:35;#1;STEP;270;Not In Use.;;
13.09.23 / 20:14:35;#1;PLC_CMD;12;Command from PLC;EOS Out Signal OK;
13.09.23 / 20:14:36;#1;STEP;280;Read Buslink-position og verify(Excel sheet). Wait for PLC-command 'EOS OUT Signal and Voltage OK'. 12..;;
13.09.23 / 20:14:36;#1;STEP;290;Show: 'Initialization EOS OUT OK';;
13.09.23 / 20:14:38;#1;STEP;300;Select feedback type;;
13.09.23 / 20:14:39;#1;STEP;310;Run to SetPoint/TargetPosition.;;
13.09.23 / 20:14:40;#1;INFO;320;Actuator Type is -> None, XOR, OneHallOut;;
13.09.23 / 20:14:40;#1;INFO;320;Stay at full stroke, start measurements;;
13.09.23 / 20:14:40;#1;INFO;320;Servo Stroke = Max Servo Pos - Min Servo Pos: ;297.39  mm;
13.09.23 / 20:14:40;#1;INFO;320;##;;
13.09.23 / 20:14:40;#1;INFO;320;Min. BusLink Position;0.25  mm;
13.09.23 / 20:14:40;#1;INFO;320;Max. BusLink Position;296.58  mm;
13.09.23 / 20:14:40;#1;INFO;320;BusLink Stroke = Max. - Min.;296.32  mm;
13.09.23 / 20:14:40;#1;INFO;320;##;;
13.09.23 / 20:14:40;#1;INFO;320;Stroke Tol. = IFlexTol.;4.00  mm;
13.09.23 / 20:14:40;#1;INFO;320;Stroke Servo Max.;301.39 mm  mm;
13.09.23 / 20:14:40;#1;INFO;320;Current BusLink Position;296.58  mm;
13.09.23 / 20:14:40;#1;INFO;320;Stroke Servo Min.;293.39 mm  mm;
13.09.23 / 20:14:40;#1;INFO;320;Comparison Servo/Buslink Position;PASSED;
13.09.23 / 20:14:41;#1;STEP;340;Test Passed. ;;
13.09.23 / 20:14:49;#1;INFO;350;PullTest;Started;
13.09.23 / 20:14:49;#1;STEP;350;Start PullTest test.;;
13.09.23 / 20:14:56;#1;PLC_CMD;13;Command from PLC;Pull test OK;
13.09.23 / 20:15:00;#1;INFO;350;PullTest;PASSED;
13.09.23 / 20:15:00;#1;INFO;999;COMMUNICATION_IDLE;;
13.09.23 / 20:15:00;#1;INFO;999;SetCustomerCurrentCutOffs();DONE;
13.09.23 / 20:15:00;#1;STEP;360;LINTest has finished. EndOfTest;;
