14.09.23 / 08:03:05;;;;********** New Test Started **********;Version of LINTest: 11.1.1.0
14.09.23 / 08:03:09;#1;INFO;110;From AxPCBA;10CS14200020000-C-0;
14.09.23 / 08:03:09;#1;INFO;110;PDHS set to Parallel Actuator;0;
14.09.23 / 08:03:10;#1;INFO;40;SetForcePositionLost();DONE;
14.09.23 / 08:03:11;#1;STEP;120;Run out of EOS IN. if EOS OUT ignore it.;;
14.09.23 / 08:03:11;#1;STEP;130;Read EOS IN. if not 0 'EOS In Error'.;;
14.09.23 / 08:03:11;#1;STEP;130;EOS IN;Is deactivated;
14.09.23 / 08:03:11;#1;STEP;140;Stop 200ms/Run In.;;
14.09.23 / 08:03:13;#1;STEP;150;Run to EOS IN.;;
14.09.23 / 08:03:13;#1;STEP;160;Read EOS IN Status. if not 1 'EOS IN Not active'.;;
14.09.23 / 08:03:15;#1;STEP;160;EOS IN;is activated;
14.09.23 / 08:03:15;#1;STEP;180;Wait for PLC command EOS Signal is OK.;;
14.09.23 / 08:03:18;#1;PLC_CMD;11;Command from PLC;EOS In Signal OK;
14.09.23 / 08:03:18;#1;STEP;180;EOS IN activated, Time out 10 s, EOS IN Signal;DONE;
14.09.23 / 08:03:18;#1;STEP;190;Timeout ?! EOS IN Signal PLC failure.;;
14.09.23 / 08:03:18;#1;STEP;200;Run servo to reference position and start stroke measurement.;;
14.09.23 / 08:03:19;#1;STEP;210;Show: 'Initialization EOS IN OK'.;;
14.09.23 / 08:03:19;#1;STEP;220;Show: 'Initialization EOS OUT'.;;
14.09.23 / 08:03:25;#1;STEP;230;Run to EOS OUT.;;
14.09.23 / 08:03:25;#1;STEP;240;Read EOS OUT Status. if not 1 'EOS OUT is not active'.;;
14.09.23 / 08:03:25;#1;STEP;240;EOS OUT;Is activated;
14.09.23 / 08:03:25;#1;STEP;240;Max Servo Position;352.39  mm;
14.09.23 / 08:03:25;#1;STEP;240;Min Servo Position;253.41  mm;
14.09.23 / 08:03:25;#1;STEP;240;Servo Stroke;98.98  mm;
14.09.23 / 08:03:25;#1;STEP;240;Min. BusLink Position;-19.20  mm;
14.09.23 / 08:03:25;#1;STEP;240;Max. BusLink Position;98.80  mm;
14.09.23 / 08:03:25;#1;STEP;250;Not In Use.;;
14.09.23 / 08:03:25;#1;STEP;260;Not In Use.;;
14.09.23 / 08:03:25;#1;STEP;270;Not In Use.;;
14.09.23 / 08:03:26;#1;PLC_CMD;12;Command from PLC;EOS Out Signal OK;
14.09.23 / 08:03:26;#1;STEP;280;Read Buslink-position og verify(Excel sheet). Wait for PLC-command 'EOS OUT Signal and Voltage OK'. 12..;;
14.09.23 / 08:03:26;#1;STEP;290;Show: 'Initialization EOS OUT OK';;
14.09.23 / 08:03:28;#1;STEP;300;Select feedback type;;
14.09.23 / 08:03:29;#1;STEP;310;Run to SetPoint/TargetPosition.;;
14.09.23 / 08:03:29;#1;INFO;320;Actuator Type is -> None, XOR, OneHallOut;;
14.09.23 / 08:03:29;#1;INFO;320;Stay at full stroke, start measurements;;
14.09.23 / 08:03:29;#1;INFO;320;Servo Stroke = Max Servo Pos - Min Servo Pos: ;98.98  mm;
14.09.23 / 08:03:29;#1;INFO;320;##;;
14.09.23 / 08:03:29;#1;INFO;320;Min. BusLink Position;-19.20  mm;
14.09.23 / 08:03:29;#1;INFO;320;Max. BusLink Position;98.80  mm;
14.09.23 / 08:03:29;#1;INFO;320;BusLink Stroke = Max. - Min.;118.00  mm;
14.09.23 / 08:03:29;#1;INFO;320;##;;
14.09.23 / 08:03:29;#1;INFO;320;Stroke Tol. = IFlexTol.;2.00  mm;
14.09.23 / 08:03:29;#1;INFO;320;Stroke Servo Max.;100.98 mm  mm;
14.09.23 / 08:03:29;#1;INFO;320;Current BusLink Position;98.80  mm;
14.09.23 / 08:03:29;#1;INFO;320;Stroke Servo Min.;96.98 mm  mm;
14.09.23 / 08:03:29;#1;INFO;320;Comparison Servo/Buslink Position;PASSED;
14.09.23 / 08:03:30;#1;STEP;340;Test Passed. ;;
14.09.23 / 08:03:37;#1;INFO;999;SetCustomerCurrentCutOffs();DONE;
14.09.23 / 08:03:37;#1;STEP;360;LINTest has finished. EndOfTest;;
