08.06.23 / 15:33:20;;;;********** New Test Started **********;Version of LINTest: 11.0.22.0
08.06.23 / 15:36:51;#3;PROTOCOL;0;Communication Protocol;CANBUS_PROTOCOL;
08.06.23 / 15:36:51;#3;INFO;0;WO Number;30905161
08.06.23 / 15:36:51;#3;INFO;0;Serial Number;0002;
08.06.23 / 15:36:51;#3;INFO;0;Product;;
08.06.23 / 15:36:51;#3;STEP;10;Nominal Power.;;
08.06.23 / 15:36:55;#3;STEP;20;Connect Violet pin for communication.;;
08.06.23 / 15:36:55;#3;STEP;30;Start Bus communication 100ms continual.;;
08.06.23 / 15:36:55;#3;INFO;30;Looks like Actuator is Connected;;
08.06.23 / 15:36:55;#3;STEP;40;SetForcePositionLost for Run Max. Speed;;
08.06.23 / 15:36:55;#3;STEP;40;SetForcePositionLost;DONE;
08.06.23 / 15:36:55;#3;STEP;40;Find BusLink *.ini Files.;;
08.06.23 / 15:36:55;#3;STEP;40;Actuator ID;LA36CA4;
08.06.23 / 15:36:56;#3;STEP;50;Timeout after 3 sec., indicate 'Ingen LIN kommunikation.;;
08.06.23 / 15:36:56;#3;STEP;60;Open the right *.ini file.;;
08.06.23 / 15:36:56;#3;INFO;60;LA36CA4.ini;file found;
08.06.23 / 15:36:56;#3;STEP;70;Read SW nummer from Actuator.;;
08.06.23 / 15:36:56;#3;STEP;80;Show Initializing EOS IN.;;
08.06.23 / 15:36:56;#3;STEP;90;Read WO Number from Actuator.;;
08.06.23 / 15:36:56;#3;INFO;90;WO from Actuator;30905161;
08.06.23 / 15:36:56;#3;INFO;90;UniqueID from Actuator;604179;
08.06.23 / 15:36:57;#3;STEP;100;Read SW Version from Actuator.;;
08.06.23 / 15:36:57;#3;INFO;100;SW Actuator;SW01050000V3-1;
08.06.23 / 15:36:57;#3;STEP;110;Compare WONumber, SWVersion, PCB.;;
08.06.23 / 15:36:57;#3;INFO;110;Query WO SQL Table Ax_Data;;
08.06.23 / 15:36:57;#3;INFO;110;From Ax_Software;SW01050000V3-1;
08.06.23 / 15:36:57;#3;INFO;110;From AxArtNo;370106-01;
08.06.23 / 15:36:57;#3;INFO;110;From AxArtName;371C50+CD20012X;
08.06.23 / 15:36:57;#3;INFO;110;From AxConf;FieldReject;
08.06.23 / 15:36:57;#3;INFO;110;From AxPCBA;FieldReject;
08.06.23 / 15:36:57;#3;STEP;120;Run out.;;
08.06.23 / 15:37:02;#3;STEP;130;Read EOS IN status. if not 0 'EOS IN error'. Not for ZeroPoint.;;
08.06.23 / 15:37:02;#3;STEP;130;EOS IN;Is deactivated;
08.06.23 / 15:37:02;#3;STEP;140;Stop 200ms/Run In.;;
08.06.23 / 15:37:13;#3;STEP;150;EOS IN;Is activated;
08.06.23 / 15:37:14;#3;STEP;150;Run to EOS IN.;;
08.06.23 / 15:37:16;#3;STEP;160;Read EOS IN Status. Not for ZeroPoint.;;
08.06.23 / 15:37:17;#3;STEP;180;Wait for PLC-command 'EOS IN Signal and Voltage OK'. 11. Not for ZeroPoint.;;
08.06.23 / 15:37:18;#3;STEP;200;Run servo to reference position and start stroke measurement.;;
08.06.23 / 15:37:18;#3;STEP;210;Show: Initializing EOS IN OK.  Not for ZeroPoint.;;
08.06.23 / 15:37:19;#3;STEP;220;Show: Initializing EOS Out.;;
08.06.23 / 15:37:19;#3;STEP;230;Run to EOS OUT.;;
08.06.23 / 15:38:19;#3;STEP;240;Read EOS OUT Status. if not 1 'EOS ud ikke aktiv'. Not for ZeroPoint.;;
08.06.23 / 15:38:19;#3;STEP;240;EOS OUT;Is activated;
08.06.23 / 15:38:19;#3;STEP;280;Compare BusLink and Servo Movement and PLC-command 'EOS OUT Signal and Voltage OK'. Not for ZeroPoint.;;
08.06.23 / 15:38:19;#3;STEP;290;Show: Initializing EOS out OK. For ZeroPoint, found MekEOS.;;
08.06.23 / 15:38:22;#3;STEP;300;If Single/OneHall, No Feedback go to step 310 else step 280.  Not for ZeroPoint.;;
08.06.23 / 15:38:23;#3;STEP;310;Run to SetPoint for Pulltest;;
08.06.23 / 15:38:26;#3;STEP;320;Actuator Type is -> Fixed, Learn, Potmeter;;
08.06.23 / 15:38:26;#3;STEP;320;Run to half stroke;;
08.06.23 / 15:39:09;#3;STEP;320;Min Servo Position;554.93  mm;
08.06.23 / 15:39:09;#3;STEP;320;Max Servo Position;754.60  mm;
08.06.23 / 15:39:09;#3;INFO;320;Min Buslink Position;-0.14 mm;
08.06.23 / 15:39:09;#3;INFO;320;Max Buslink Position;199.72 mm;
08.06.23 / 15:39:09;#3;INFO;320;Current Buslink Position;99.86 mm;
08.06.23 / 15:39:09;#3;INFO;320;Tolerance 1/2 Stroke;4.00 mm;
08.06.23 / 15:39:09;#3;STEP;320;Spec. Servo Position Min.;95.80 mm;
08.06.23 / 15:39:09;#3;STEP;320;Buslink Position;99.86 mm;
08.06.23 / 15:39:09;#3;STEP;320;Spec. Servo Position Max.;103.80 mm;
08.06.23 / 15:39:09;#3;STEP;320;Read new LIN-position.;;
08.06.23 / 15:39:09;#3;INFO;320;Comparison Servo/Buslink Position;PASSED;
08.06.23 / 15:39:09;#3;INFO;999;SetCustomerCurrentCutOffs();DONE;
08.06.23 / 15:39:09;#3;STEP;340;CANBus Verification;;
08.06.23 / 15:39:09;#3;STEP;340;Try SetToLoopBackModeCANBus;;
08.06.23 / 15:39:10;#3;STEP;340;SetToLoopBackModeCANBus;DONE;
08.06.23 / 15:39:10;#3;STEP;340;Try VerifyCANBusFunctionality;;
08.06.23 / 15:39:20;#3;STEP;340;VerifyCANBusFunctionality;PASSED;
08.06.23 / 15:39:20;#3;STEP;360;LINTest has finished. EndOfTest;;
